,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
459,IDCJAC0009,70351,2009,4,4,16.8,1.0,Y
460,IDCJAC0009,70351,2009,4,5,0.0,,Y
461,IDCJAC0009,70351,2009,4,6,0.0,,Y
462,IDCJAC0009,70351,2009,4,7,0.0,,Y
463,IDCJAC0009,70351,2009,4,8,0.0,,Y
464,IDCJAC0009,70351,2009,4,9,0.0,,Y
465,IDCJAC0009,70351,2009,4,10,0.2,1.0,Y
466,IDCJAC0009,70351,2009,4,11,0.4,1.0,Y
467,IDCJAC0009,70351,2009,4,12,5.8,1.0,Y
468,IDCJAC0009,70351,2009,4,13,0.0,,Y
469,IDCJAC0009,70351,2009,4,14,28.0,1.0,Y
470,IDCJAC0009,70351,2009,4,15,1.2,1.0,Y
471,IDCJAC0009,70351,2009,4,16,0.0,,Y
472,IDCJAC0009,70351,2009,4,17,0.0,,Y
473,IDCJAC0009,70351,2009,4,18,0.0,,Y
474,IDCJAC0009,70351,2009,4,19,0.0,,Y
475,IDCJAC0009,70351,2009,4,20,0.0,,Y
476,IDCJAC0009,70351,2009,4,21,0.0,,Y
477,IDCJAC0009,70351,2009,4,22,0.0,,Y
478,IDCJAC0009,70351,2009,4,23,0.2,1.0,Y
479,IDCJAC0009,70351,2009,4,24,0.0,,Y
480,IDCJAC0009,70351,2009,4,25,5.6,1.0,Y
481,IDCJAC0009,70351,2009,4,26,9.2,1.0,Y
482,IDCJAC0009,70351,2009,4,27,2.6,1.0,Y
483,IDCJAC0009,70351,2009,4,28,0.4,1.0,Y
484,IDCJAC0009,70351,2009,4,29,0.0,,Y
485,IDCJAC0009,70351,2009,4,30,0.0,,Y
486,IDCJAC0009,70351,2009,5,1,0.0,,Y
487,IDCJAC0009,70351,2009,5,2,0.0,,Y
488,IDCJAC0009,70351,2009,5,3,0.0,,Y
489,IDCJAC0009,70351,2009,5,4,0.0,,Y
490,IDCJAC0009,70351,2009,5,5,0.0,,Y
491,IDCJAC0009,70351,2009,5,6,0.0,,Y
492,IDCJAC0009,70351,2009,5,7,0.0,,Y
493,IDCJAC0009,70351,2009,5,8,0.0,,Y
494,IDCJAC0009,70351,2009,5,9,0.0,,Y
495,IDCJAC0009,70351,2009,5,10,0.0,,Y
496,IDCJAC0009,70351,2009,5,11,0.0,,Y
497,IDCJAC0009,70351,2009,5,12,0.0,,Y
498,IDCJAC0009,70351,2009,5,13,0.0,,Y
499,IDCJAC0009,70351,2009,5,14,0.0,,Y
